text,merek,jenis_produk,kandungan,manfaat
somethinc niacinamide moisturizer serum kulit mencerahkan maksimal pemula,somethinc,"moisturizer, serum",niacinamide,kulit mencerahkan maksimal pemula
forebie fight jerawat moisturizer serum,forebie,moisturizer serum,,fight jerawat
toner badan kelupas melati,,toner badan,melati,kelupas
viva air mawar face tonic milk cleanser toner penyegar susu,viva,"cleanser toner, face tonic","air mawar, milk, susu",penyegar
skin1004 madagascar centella hyalu cica serum spf50 pa,skin1004,serum,madagascar centella hyalu cica,spf50 pa
skintific niacinamide brightening moisturizer glowing gel alpha arbutin cream white wajah,skintific,"gel, moisturizer, cream","alpha arbutin, niacinamide","glowing, white wajah, brightening"
sunblock wajah badan spf 50 pa sunscreen,,"sunblock wajah badan, sunscreen",,spf 50 pa
skintific ceramide barrier moisturizer gel cream white wajah calming brightening dark spot pelembab facial day night niacinamide centella marine collagen,skintific,"moisturizer gel cream white wajah, pelembab facial","niacinamide centella marine collagen, ceramide","barrier, day night, calming brightening dark spot"
nature aloe vera 92 soothing gel,nature,gel,aloe vera,92 soothing
beauty charge facial cleancer,beauty charge,facial cleancer,,
npure sunscreen cica the sun matte spf 50 pa jerawat hypoallergenic acid beruntusan hydrating mencerahkan wajah,npure,sunscreen,"cica, acid","the sun matte spf 50 pa jerawat hypoallergenic, beruntusan hydrating mencerahkan wajah"
oily skin scarlett white ultra light daily sunscreen spf 50 pa water based meresap 20an detik ringan ceramide hyaluronic acid no whitecast,scarlett,sunscreen,ceramide hyaluronic acid,"white ultra light daily, spf 50 pa water based meresap 20an detik ringan, oily skin, no whitecast"
glad2glow mugwort clay mask wajah face cleansing green salicylic acid anti pores jerawat komedo centella facial wash off,glad2glow,"clay mask wajah face cleansing green, facial wash off","centella, mugwort, salicylic acid",anti pores jerawat komedo
skin aqua uv white milk spf 50,skin aqua,,milk,"uv white, spf 50"
eileen moisturize rose jelly mask,eileen,"moisturize, jelly mask",rose,
toner pelicin ekstrak lemon strong wangi,,toner pelicin,ekstrak lemon,strong wangi
somethinc low ph gentle jelly cleanser sabun cuci wajah semua jenis kulit,somethinc,gentle jelly cleanser sabun cuci wajah,,"low ph, semua jenis kulit"
mask wajah puqianna ekstrak buah tumbuhan kualitas face,puqianna,mask wajah,ekstrak buah tumbuhan,kualitas face
azarine barrier moisturizer pelembab wajah cream gel mencerahkan kulit kusam jerawat sensitif,azarine,"pelembab wajah cream gel, moisturizer",,"barrier, mencerahkan kulit kusam jerawat sensitif"
hchana rorec sheet mask facial perawatan,hchana rorec,sheet mask,,facial perawatan
cosrx low ph morning cleanser sabun wajah untuk semua jenis kulit,cosrx,cleanser sabun wajah,,"low ph, untuk semua jenis kulit, morning"
facetology triple care jerawat calm micellar water cleanser wajah salicylic acid untuk kulit berminyak,facetology,micellar water cleanser wajah,salicylic acid,"untuk kulit berminyak, triple care jerawat calm"
the originote peeling solution serum exfoliating wajah untuk angkat sel kulit mati memperbaiki tekstur aha bha pha,the originote,peeling solution serum,aha bha pha,exfoliating wajah untuk angkat sel kulit mati memperbaiki tekstur
glad2glow 3d acid clay stick mask wajah komedo cleanser penghilang wash off,glad2glow,"wash off, clay stick mask wajah komedo cleanser penghilang",3d acid,
hanasui collagen sunscreen spf50 pa,hanasui,sunscreen,collagen,spf50 pa
cream htmh 0 flek jerawat white,htmh 0,cream,,flek jerawat white
skintific panthenol jerawat calming water gel exfoliating perawatan wajah untuk melembabkan white brightening dark spot pelembab facial moisturizer day cream night niacinamide centella ceramide,skintific,"water gel exfoliating, cream, pelembab facial moisturizer","niacinamide centella ceramide, panthenol","day, perawatan wajah untuk melembabkan white brightening dark spot, jerawat calming, night"
cream htmh flek tebal melasma,htmh,cream,,flek tebal melasma
npure cleanser gel softly gentle skin wajah hypoallergenic sensitive approved semua jenis kulit ph balance travel size,npure,cleanser gel,"ph, hypoallergenic","balance travel size, sensitive approved, softly gentle skin wajah, semua jenis kulit"
emina bright stuff face wash sabun wajah mencerahkan glowing anti kusam,emina,stuff face wash sabun wajah,,"bright, mencerahkan glowing anti kusam"
bioaqua mask komedo bamboo charcoal blackhead remover peel off wajah hidung cleanser,bioaqua,"peel off wajah hidung cleanser, mask komedo bamboo",charcoal,blackhead remover
brightening glow up serum white booster glowing ceramide retinol soy cell dna salmon,brightening,glow up serum,ceramide retinol soy cell dna salmon,white booster glowing
toner pelicin lemon niacinamide glowing,,toner,"niacinamide, lemon","glowing, pelicin"
byzoe glow jelly booster glowing,byzoe,jelly booster,,"glowing, glow"
jerawat patch pimple sticker menghilangkan angkat speedy solution anti trouble,,jerawat patch pimple sticker,,menghilangkan angkat speedy solution anti trouble
ms glow facial wash brightening sabun cuci wajah,ms glow,"facial wash, sabun cuci wajah",,brightening
the originote hyalucera moisturizer hyaluronic acid ceramide chlorelina,the originote,moisturizer,"hyalucera, hyaluronic acid ceramide chlorelina",
aurora louisse choice dna salmon glutathione ocean jelly face cream facial moisturizer effective white remove melanin anti - aging,aurora louisse choice,ocean jelly face cream facial moisturizer,dna salmon glutathione,effective white remove melanin anti - aging
wardah sunscreen gel spf 35 aqua fresh essence active protection serum uv light,wardah,"sunscreen gel, serum, essence",fresh,"active protection, uv light, spf 35 aqua"
facetology spf triple care sunscreen 40 pa,facetology,sunscreen,,"40 pa, triple care, spf"
cream temulawak,,cream,temulawak,
garnier yoghurt sleeping mask light complete sakura white serum cream,garnier,"sleeping mask, serum cream","sakura, yoghurt","white, light complete"
whitelab uv shield tank sunscreen gel spf 50 pa sunblock pelindung sinar matahari niacinamide raykami hyaluronic ringan tidak lengket,whitelab,"sunscreen gel, sunblock",niacinamide raykami hyaluronic,"pelindung sinar matahari, ringan tidak lengket, spf 50 pa, uv shield tank"
toner dojako mengecilkan pori,dojako,toner,,mengecilkan pori
skintific dark spot serum niacinamide mencerahkan tumpas komedo anti - aging anti jerawat exfoliating angkat sel kulit mati white wajah tranexamic acid,skintific,serum,"tranexamic acid, niacinamide","dark spot, mencerahkan tumpas komedo anti - aging anti jerawat exfoliating angkat sel kulit mati white wajah"
jerawat patch untuk kempes,,jerawat patch,,untuk kempes
salsa hans jebb gel skin cleanser perontok daki greentea lemon,salsa,hans jebb gel skin cleanser,greentea lemon,perontok daki
glowsicha brightening day cream,glowsicha,cream,,brightening day
moon night cream camille,camille,cream,,moon night
viva white soothing aloe gel waterdrop sleeping mask moisturizer,viva,waterdrop sleeping mask moisturizer,aloe gel,white soothing
azarine hydramax c sunscreen serum spf50 pa kulit kering sensitif,azarine,sunscreen serum,c,"hydramax, spf50 pa, kulit kering sensitif"
skin1004 madagascar centella tone brightening boosting toner,skin1004,"tone, toner",madagascar centella,brightening boosting
lumiwhite sunscreen essence spf 50 pa,lumiwhite,sunscreen essence,,spf 50 pa
glad2glow blueberry ceramide moisturizer skin barrier pelembab wajah facial cream day night malam,glad2glow,"moisturizer, pelembab wajah facial cream","blueberry, ceramide","day night malam, skin barrier"
glamazing multipurpose soothing skinditioner,glamazing,,,multipurpose soothing skinditioner
kahf skin energizing and brightening face wash,kahf,face wash,,skin energizing and brightening
l oreal paris uv defender serum protector sunscreen spf 50 pa untuk mencegah kulit tampak tua 5 tahun melembapkan,l oreal paris,defender serum protector sunscreen,,"uv, untuk mencegah kulit tampak tua 5 tahun melembapkan, spf 50 pa"
focalskin porefying cleanser facial wash sabun cuci wajah membersihkan komedo moisturizing aha pha bha penghilang kulit jerawat calming oil control semua jenis,focalskin,cleanser facial wash sabun cuci wajah,aha pha bha,"membersihkan komedo, moisturizing, penghilang kulit jerawat calming oil control semua jenis, porefying"
npure jerawat clear pad cica licorice light up brightening,npure,jerawat clear pad,"licorice, cica",light up brightening
cream collagen malam,,cream,collagen,malam
jerawat patch penghilang siang malam,,jerawat patch,,"siang malam, penghilang"
star jerawat pimple patch repair skin douyin salicylic acid treatment stickers skincare,douyin,"star jerawat pimple patch, treatment stickers skincare",salicylic acid,repair skin
npure peeling gel licorice advance exfoliating brightening glowing penghilang daki mencerahkan,npure,peeling gel,licorice,advance exfoliating brightening glowing penghilang daki mencerahkan
skintific niacinamide brightening moisturizer gel cream white wajah calming dark spot pelembab facial day night,skintific,"moisturizer gel cream, pelembab facial",niacinamide,"white wajah calming dark spot, day night, brightening"
wardah amino aha pha clarifying foaming cleanser sabun cuci wajah acid,wardah,foaming cleanser sabun cuci wajah,"acid, amino aha pha",clarifying
glad2glow pomegranate niacinamide power bright white serum wajah alpha arbutin mencerahkan facial brightening,glad2glow,"facial, serum wajah","alpha arbutin, pomegranate, niacinamide","power bright white, mencerahkan, brightening"
skintific dark spot moisturizer gel penyamar noda hitam meratakan warna kulit cream white wajah calming pelembab facial day night niacinamide glutathione tranexamic acid,skintific,"moisturizer gel, cream, pelembab facial",niacinamide glutathione tranexamic acid,"dark spot, white wajah calming, day night, penyamar noda hitam meratakan warna kulit"
cr k142 tissue bulat mini travel sekali pakai mask wajah kompres towel portable tisu bentuk permen travelling compressed paper sheet,cr k142,"mask wajah kompres towel portable tisu, compressed paper sheet, tissue bulat mini",,"travel sekali pakai, bentuk permen travelling"
,,,,
in vivo amaterasun uv sunscreen serum spf 50 pa,in vivo amaterasun,sunscreen serum,,"uv, spf 50 pa"
bioaqua sheet mask,bioaqua,sheet mask,,
scarlett white ceramide moisturizer pelembab wajah untuk mencerahkan melembabkan memperbaiki skin barrier menghidrasi kulit sensitif approved tidak buat make up geser,scarlett,moisturizer pelembab wajah,ceramide,"white, untuk mencerahkan melembabkan memperbaiki skin barrier menghidrasi kulit sensitif approved tidak buat make up geser"
whitelab brightening booster serum niacinamide mencerahkan maksimal untuk kulit sensitif berminyak oxy229 hyaluronic,whitelab,booster serum,"niacinamide, oxy229 hyaluronic","mencerahkan maksimal untuk kulit sensitif berminyak, brightening"
glowsicha cream wajah siang malam brightening day night jelly booster,glowsicha,"jelly booster, cream wajah",,siang malam brightening day night
story brightening face serum untuk wajah mencerahkan bersih glowing,story,face serum,,"untuk wajah mencerahkan bersih glowing, brightening"
polynia pomegranate revitalizing face mask anti - aging mengencangkan wajah anti kerutan garis halus penuaan dini,polynia,face mask,pomegranate,"anti - aging mengencangkan wajah anti kerutan garis halus penuaan dini, revitalizing"
garnier bright complete vitamin c simple cream pagi malam mencerahkan day night,garnier,cream,vitamin c,"bright complete, simple, pagi malam mencerahkan day night"
eiem beauty natural hybrid sunscreen spf 50 lolos uji invivo,eiem beauty,sunscreen,,"natural hybrid, spf 50 lolos uji invivo"
skin aqua tone up uv essence moisturizer milk spf 50 pa sunscreen sun block mist light sunplay protection lotion,skin aqua,"lotion, mist, tone up, block, essence moisturizer, sunscreen",milk,"light sunplay protection, uv, sun, spf 50 pa"
you amino facial wash anti jerawat hydrating brightening oil control sabun cuci wajah,you,"facial wash, sabun cuci wajah",amino,anti jerawat hydrating brightening oil control
mask organik skindivore organic face,skindivore,mask organik,,organic face
cosrx snail mucin essence esense wajah untuk anti penuaan,cosrx,"esense wajah, essence",snail mucin,untuk anti penuaan
azarine hydramax c sunscreen serum spf50 pa kulit kering tidak lengket no whitecast,azarine,sunscreen serum,c,"hydramax, spf50 pa kulit kering tidak lengket no whitecast"
claridem philiphine,claridem,,,philiphine
wardah uv shield essential sunscreen gel spf 35 pa tekstur ringan tidak lengket melembabkan semua jenis kulit mencegah penuaan dini,wardah,sunscreen gel,,"spf 35 pa, uv shield essential, tekstur ringan tidak lengket melembabkan semua jenis kulit mencegah penuaan dini"
garnier sakura cream,garnier,cream,sakura,
meidian green tea mask cleansing clay stick wajah cleanser komedo jerawat minyak berlebih,meidian,"mask, clay stick wajah cleanser",green tea,"komedo jerawat minyak berlebih, cleansing"
sadoer mask wajah sheet plant,sadoer,mask wajah sheet,plant,
skintific mugwort jerawat clay stick mask facial,skintific,"facial, clay stick mask",mugwort,jerawat
bioaqua sheet mask hydrating essence brightening moisturizing anti - aging wajah,bioaqua,"essence, sheet mask",,"hydrating, brightening moisturizing anti - aging wajah"
facetology triplecare sunscreen spf 40 pa,facetology,sunscreen,,"triplecare, spf 40 pa"
d alba white spray serum,d alba,spray serum,,white
nyyo skinbarrier booster cooling gel,nyyo,gel,,skinbarrier booster cooling
fyc yessica tea tree strawberry anti pores jerawat clay stick mask,fyc yessica,clay stick mask,tea tree strawberry,anti pores jerawat
hanasui ceramide probiotics moisturizer gel,hanasui,moisturizer gel,ceramide probiotics,
pratista calming spray,pratista,spray,,calming
