text,merek,jenis_produk,kandungan,manfaat,topik,topik_label
skintific ceramide low ph cleanser facial wash face sabun cuci wajah acner glowing barrier anti - aging exfoliating brightening white blackhead removal calming peeling dark spot amino acid hyaluronic,skintific,cleanser facial wash face sabun cuci wajah,"amino acid hyaluronic, ceramide","acner glowing barrier anti - aging exfoliating brightening white blackhead removal calming peeling dark spot, low ph",2,Pembersih Wajah dan Perawatan Jerawat
viva white cream,viva,cream,,white,2,Pembersih Wajah dan Perawatan Jerawat
bioaqua sheet mask,bioaqua,sheet mask,,,,
dorskin matcha glow sleeping mask jerawat brightening pelembap cream pagi malam gel,dorskin,"gel, pelembap cream, sleeping mask",matcha,"glow, jerawat brightening, pagi malam",5,Brightening dengan Bahan Aktif
seca skin renewal exfoliating peeling gel,seca,exfoliating peeling gel,,skin renewal,,
bioaqua sheet mask brightening moisturizing hydrating essence anti - aging,bioaqua,"essence, sheet mask",,"anti - aging, brightening moisturizing, hydrating",4,Hidrasi dan Perawatan Kulit Sensitif
white serum pencerah wajah,,serum,,"pencerah wajah, white",4,Hidrasi dan Perawatan Kulit Sensitif
somethinc biospicule renewal serum,somethinc,biospicule renewal serum,,,,
wardah bright creamy foam smooth glow oil control,wardah,bright creamy foam,,smooth glow oil control,,
hchana natural skin mask sheet rorec,"hchana, rorec",mask sheet,,natural skin,,
bioaqua sheet mask,bioaqua,sheet mask,,,,
natur90 peel off mask goat milk charcoal naturgo jerawat wajah,"natur90, naturgo",peel off mask,"charcoal, goat milk",jerawat wajah,1,Skincare Anti-Aging dan Brightening
bioaqua scrub wajah peeling gel niacinamide brightening smooth facial exfoliating face,bioaqua,scrub wajah peeling gel,niacinamide,brightening smooth facial exfoliating face,,
the originote jelly booster serum moisturizer mencerahkan meratakan warna kulit glutathione,the originote,jelly booster serum moisturizer,glutathione,mencerahkan meratakan warna kulit,3,"Pelembap, Retinol, dan Perlindungan Kulit"
implora face serum hydrating jerawat brightening peeling midnight white milkyampoule sunscreen sun shield tabir surya spf,implora,"face serum, sunscreen, tabir surya",milkyampoule,"hydrating jerawat brightening peeling midnight white, spf, sun shield",3,"Pelembap, Retinol, dan Perlindungan Kulit"
grace and glow brightening sun lotion body serum spf 30 pa sunscreen sunblock badan anti uv arbutin bearberry,grace and glow,"sun lotion body serum, sunscreen sunblock",arbutin bearberry,"badan anti uv, brightening, spf 30 pa",4,Hidrasi dan Perawatan Kulit Sensitif
focallure spot patch jerawat treatment day night,focallure,spot patch jerawat,,treatment day night,,
jerawat patch penghilang acnes spot menghilangkan angkat speedy solution anti trouble,,jerawat patch,,"menghilangkan angkat speedy solution anti trouble, penghilang acnes spot",,
jerawat patch transparan plester pagi malam ultra thin spot,,"jerawat patch transparan plester, ultra thin spot",,pagi malam,,
finally found you soy bright moisturizer primer makeup gel pelembab cream siang malam,finally found you soy,moisturizer primer makeup gel pelembab cream,,"bright, siang malam",3,"Pelembap, Retinol, dan Perlindungan Kulit"
azarine hydrasoothe sunscreen gel spf45 pa sun screen tabir surya cream hydramax suncreen serum spf tone,azarine,"sun screen tabir surya cream, suncreen serum, sunscreen gel, tone",,"hydramax, hydrasoothe, spf, spf45 pa",3,"Pelembap, Retinol, dan Perlindungan Kulit"
implora serum wajah,implora,serum wajah,,,,
exfoliating pad npure jerawat clear cica acid extract glycolic pha wajah bruntusan,npure,exfoliating pad,"acid extract glycolic pha, cica","jerawat clear, wajah bruntusan",2,Pembersih Wajah dan Perawatan Jerawat
everpure sul jerawat spot drying lotion obat totol mengeringkan sulfur bha,everpure sul,lotion obat totol,sulfur bha,"jerawat spot drying, mengeringkan",,
you daily defense sunscreen serum spf30 tabir surya uva uvb blue light lightweight dry skin,you,"sunscreen serum, tabir surya",,"daily defense, dry skin, spf30, uva uvb blue light lightweight",2,Pembersih Wajah dan Perawatan Jerawat
azarine cicamide barrier sunscreen moisturizer spf35 pa,azarine,sunscreen moisturizer,cicamide,"barrier, spf35 pa",2,Pembersih Wajah dan Perawatan Jerawat
bioaqua sheet mask fruits veggies buah sayur facial brightening moisturizing anti - aging wajah glowing glow,bioaqua,sheet mask,"buah sayur, fruits veggies","anti - aging wajah glowing glow, facial brightening moisturizing",,
keymask,keymask,,,,,
jerawat patch hydrocolloids pimple repair skin penyerap serap minyak wajah oil control,,"jerawat patch, penyerap",hydrocolloids,"pimple repair skin, serap minyak wajah oil control",,
collagen day night,,,collagen,day night,,
louisse choice ginseng herbal mask moisturizing nourishing anti - aging anti wrinkle seed oil centella,louisse choice,herbal mask,"ginseng, seed oil centella",moisturizing nourishing anti - aging anti wrinkle,,
eiem beauty moisturizer,eiem beauty,moisturizer,,,,
2 garnier men acno fight anti jerawat scrub foam,2 garnier men,"foam, scrub",,acno fight anti jerawat,2,Pembersih Wajah dan Perawatan Jerawat
skin1004 madagascar centella tone brightening capsule ampoule,skin1004,capsule ampoule,madagascar centella,tone brightening,,
the originote cleanser cicamide facial hyalurose micellar water,the originote,"cleanser, micellar water","cicamide, hyalurose",facial,2,Pembersih Wajah dan Perawatan Jerawat
green mask stick stik tea penghilang komedo,green,mask stick stik,tea,penghilang komedo,5,Brightening dengan Bahan Aktif
somethinc sunscreen spf 40 pa,somethinc,sunscreen,,spf 40 pa,3,"Pelembap, Retinol, dan Perlindungan Kulit"
serum vitamin e,,serum,vitamin e,,,
toner avoskin miraculous refining aha bha pha exfoliating kulit,avoskin miraculous,toner,aha bha pha,"exfoliating kulit, refining",4,Hidrasi dan Perawatan Kulit Sensitif
100 glad2glow pomegranate niacinamide brightening moisturizer mencerahkan pelembab wajah white glowing cream day night malam pencerah,100 glad2glow,"cream, moisturizer, pelembab wajah","niacinamide, pomegranate","brightening, day night malam pencerah, mencerahkan, white glowing",1,Skincare Anti-Aging dan Brightening
skin aqua uv white milk spf50 pa,skin aqua,,milk,"spf50 pa, uv white",1,Skincare Anti-Aging dan Brightening
skin1004 centella ampoule,skin1004,ampoule,centella,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
skintific aqua light daily sunscreen spf 35 pa sunblock sun glowing barrier anti - aging brightening white mencerahkan wajah melindungi kulit dari sinar uva uvb,skintific,"sun, sunblock, sunscreen",aqua,"glowing barrier anti - aging brightening white mencerahkan wajah melindungi kulit dari sinar uva uvb, light daily, spf 35 pa",3,"Pelembap, Retinol, dan Perlindungan Kulit"
fair lovely glow cream,fair lovely,cream,,glow,5,Brightening dengan Bahan Aktif
wardah uv shield sunscreen gel spf 35,wardah,sunscreen gel,,"spf 35, uv shield",2,Pembersih Wajah dan Perawatan Jerawat
garnier bright complete vitamin c booster serum cepat cerahkan noda hitam samarkan bekas jerawat,garnier,booster serum,vitamin c,"bright complete, cepat cerahkan noda hitam samarkan bekas jerawat",3,"Pelembap, Retinol, dan Perlindungan Kulit"
somethinc niacinamide moisturizer serum kulit mencerahkan maksimal pemula,somethinc,"moisturizer, serum",niacinamide,kulit mencerahkan maksimal pemula,3,"Pelembap, Retinol, dan Perlindungan Kulit"
forebie fight jerawat moisturizer serum,forebie,moisturizer serum,,fight jerawat,,
toner badan kelupas melati,,toner badan,melati,kelupas,,
viva air mawar face tonic milk cleanser toner penyegar susu,viva,"cleanser toner, face tonic","air mawar, milk, susu",penyegar,2,Pembersih Wajah dan Perawatan Jerawat
skin1004 madagascar centella hyalu cica serum spf50 pa,skin1004,serum,madagascar centella hyalu cica,spf50 pa,3,"Pelembap, Retinol, dan Perlindungan Kulit"
skintific niacinamide brightening moisturizer glowing gel alpha arbutin cream white wajah,skintific,"cream, gel, moisturizer","alpha arbutin, niacinamide","brightening, glowing, white wajah",5,Brightening dengan Bahan Aktif
sunblock wajah badan spf 50 pa sunscreen,,"sunblock wajah badan, sunscreen",,spf 50 pa,,
skintific ceramide barrier moisturizer gel cream white wajah calming brightening dark spot pelembab facial day night niacinamide centella marine collagen,skintific,"moisturizer gel cream white wajah, pelembab facial","ceramide, niacinamide centella marine collagen","barrier, calming brightening dark spot, day night",3,"Pelembap, Retinol, dan Perlindungan Kulit"
nature aloe vera 92 soothing gel,nature,gel,aloe vera,92 soothing,,
beauty charge facial cleancer,beauty charge,facial cleancer,,,,
npure sunscreen cica the sun matte spf 50 pa jerawat hypoallergenic acid beruntusan hydrating mencerahkan wajah,npure,sunscreen,"acid, cica","beruntusan hydrating mencerahkan wajah, the sun matte spf 50 pa jerawat hypoallergenic",5,Brightening dengan Bahan Aktif
oily skin scarlett white ultra light daily sunscreen spf 50 pa water based meresap 20an detik ringan ceramide hyaluronic acid no whitecast,scarlett,sunscreen,ceramide hyaluronic acid,"no whitecast, oily skin, spf 50 pa water based meresap 20an detik ringan, white ultra light daily",3,"Pelembap, Retinol, dan Perlindungan Kulit"
glad2glow mugwort clay mask wajah face cleansing green salicylic acid anti pores jerawat komedo centella facial wash off,glad2glow,"clay mask wajah face cleansing green, facial wash off","centella, mugwort, salicylic acid",anti pores jerawat komedo,2,Pembersih Wajah dan Perawatan Jerawat
skin aqua uv white milk spf 50,skin aqua,,milk,"spf 50, uv white",1,Skincare Anti-Aging dan Brightening
eileen moisturize rose jelly mask,eileen,"jelly mask, moisturize",rose,,5,Brightening dengan Bahan Aktif
toner pelicin ekstrak lemon strong wangi,,toner pelicin,ekstrak lemon,strong wangi,,
somethinc low ph gentle jelly cleanser sabun cuci wajah semua jenis kulit,somethinc,gentle jelly cleanser sabun cuci wajah,,"low ph, semua jenis kulit",3,"Pelembap, Retinol, dan Perlindungan Kulit"
mask wajah puqianna ekstrak buah tumbuhan kualitas face,puqianna,mask wajah,ekstrak buah tumbuhan,kualitas face,,
azarine barrier moisturizer pelembab wajah cream gel mencerahkan kulit kusam jerawat sensitif,azarine,"moisturizer, pelembab wajah cream gel",,"barrier, mencerahkan kulit kusam jerawat sensitif",3,"Pelembap, Retinol, dan Perlindungan Kulit"
hchana rorec sheet mask facial perawatan,hchana rorec,sheet mask,,facial perawatan,,
cosrx low ph morning cleanser sabun wajah untuk semua jenis kulit,cosrx,cleanser sabun wajah,,"low ph, morning, untuk semua jenis kulit",5,Brightening dengan Bahan Aktif
facetology triple care jerawat calm micellar water cleanser wajah salicylic acid untuk kulit berminyak,facetology,micellar water cleanser wajah,salicylic acid,"triple care jerawat calm, untuk kulit berminyak",4,Hidrasi dan Perawatan Kulit Sensitif
the originote peeling solution serum exfoliating wajah untuk angkat sel kulit mati memperbaiki tekstur aha bha pha,the originote,peeling solution serum,aha bha pha,exfoliating wajah untuk angkat sel kulit mati memperbaiki tekstur,,
glad2glow 3d acid clay stick mask wajah komedo cleanser penghilang wash off,glad2glow,"clay stick mask wajah komedo cleanser penghilang, wash off",3d acid,,,
hanasui collagen sunscreen spf50 pa,hanasui,sunscreen,collagen,spf50 pa,5,Brightening dengan Bahan Aktif
cream htmh 0 flek jerawat white,htmh 0,cream,,flek jerawat white,,
skintific panthenol jerawat calming water gel exfoliating perawatan wajah untuk melembabkan white brightening dark spot pelembab facial moisturizer day cream night niacinamide centella ceramide,skintific,"cream, pelembab facial moisturizer, water gel exfoliating","niacinamide centella ceramide, panthenol","day, jerawat calming, night, perawatan wajah untuk melembabkan white brightening dark spot",2,Pembersih Wajah dan Perawatan Jerawat
cream htmh flek tebal melasma,htmh,cream,,flek tebal melasma,,
npure cleanser gel softly gentle skin wajah hypoallergenic sensitive approved semua jenis kulit ph balance travel size,npure,cleanser gel,"hypoallergenic, ph","balance travel size, semua jenis kulit, sensitive approved, softly gentle skin wajah",1,Skincare Anti-Aging dan Brightening
emina bright stuff face wash sabun wajah mencerahkan glowing anti kusam,emina,stuff face wash sabun wajah,,"bright, mencerahkan glowing anti kusam",,
bioaqua mask komedo bamboo charcoal blackhead remover peel off wajah hidung cleanser,bioaqua,"mask komedo bamboo, peel off wajah hidung cleanser",charcoal,blackhead remover,3,"Pelembap, Retinol, dan Perlindungan Kulit"
brightening glow up serum white booster glowing ceramide retinol soy cell dna salmon,brightening,glow up serum,ceramide retinol soy cell dna salmon,white booster glowing,,
toner pelicin lemon niacinamide glowing,,toner,"lemon, niacinamide","glowing, pelicin",4,Hidrasi dan Perawatan Kulit Sensitif
byzoe glow jelly booster glowing,byzoe,jelly booster,,"glow, glowing",4,Hidrasi dan Perawatan Kulit Sensitif
jerawat patch pimple sticker menghilangkan angkat speedy solution anti trouble,,jerawat patch pimple sticker,,menghilangkan angkat speedy solution anti trouble,,
ms glow facial wash brightening sabun cuci wajah,ms glow,"facial wash, sabun cuci wajah",,brightening,2,Pembersih Wajah dan Perawatan Jerawat
the originote hyalucera moisturizer hyaluronic acid ceramide chlorelina,the originote,moisturizer,"hyalucera, hyaluronic acid ceramide chlorelina",,3,"Pelembap, Retinol, dan Perlindungan Kulit"
aurora louisse choice dna salmon glutathione ocean jelly face cream facial moisturizer effective white remove melanin anti - aging,aurora louisse choice,ocean jelly face cream facial moisturizer,dna salmon glutathione,effective white remove melanin anti - aging,,
wardah sunscreen gel spf 35 aqua fresh essence active protection serum uv light,wardah,"essence, serum, sunscreen gel",fresh,"active protection, spf 35 aqua, uv light",4,Hidrasi dan Perawatan Kulit Sensitif
facetology spf triple care sunscreen 40 pa,facetology,sunscreen,,"40 pa, spf, triple care",1,Skincare Anti-Aging dan Brightening
cream temulawak,,cream,temulawak,,,
garnier yoghurt sleeping mask light complete sakura white serum cream,garnier,"serum cream, sleeping mask","sakura, yoghurt","light complete, white",3,"Pelembap, Retinol, dan Perlindungan Kulit"
whitelab uv shield tank sunscreen gel spf 50 pa sunblock pelindung sinar matahari niacinamide raykami hyaluronic ringan tidak lengket,whitelab,"sunblock, sunscreen gel",niacinamide raykami hyaluronic,"pelindung sinar matahari, ringan tidak lengket, spf 50 pa, uv shield tank",3,"Pelembap, Retinol, dan Perlindungan Kulit"
toner dojako mengecilkan pori,dojako,toner,,mengecilkan pori,,
skintific dark spot serum niacinamide mencerahkan tumpas komedo anti - aging anti jerawat exfoliating angkat sel kulit mati white wajah tranexamic acid,skintific,serum,"niacinamide, tranexamic acid","dark spot, mencerahkan tumpas komedo anti - aging anti jerawat exfoliating angkat sel kulit mati white wajah",2,Pembersih Wajah dan Perawatan Jerawat
jerawat patch untuk kempes,,jerawat patch,,untuk kempes,,
salsa hans jebb gel skin cleanser perontok daki greentea lemon,salsa,hans jebb gel skin cleanser,greentea lemon,perontok daki,,
glowsicha brightening day cream,glowsicha,cream,,brightening day,2,Pembersih Wajah dan Perawatan Jerawat
moon night cream camille,camille,cream,,moon night,,
